cell_#,angle_of_attachment,aspect_ratio,number_of_cells,cumulative_overlap,cumulative_squared_overlap,max_overlap_of_single_cell,generation_#
0,0.785398,1.800000,1,0,0,0,0
1,0.785398,1.800000,2,0.000000,0.000000,0.000000,1
2,0.785398,1.800000,3,0.000000,0.000000,0.000000,2
3,0.785398,1.800000,4,0.000000,0.000000,0.000000,3
4,0.785398,1.800000,5,0.000000,0.000000,0.000000,3
5,0.785398,1.800000,6,0.000000,0.000000,0.000000,3
6,0.785398,1.800000,7,3.245861,10.535611,3.245861,4
7,0.785398,1.800000,8,3.245861,10.535611,3.245861,4
8,0.785398,1.800000,9,3.245861,10.535611,3.245861,4
9,0.785398,1.800000,10,3.245861,10.535611,3.245861,4
10,0.785398,1.800000,11,3.245861,10.535611,3.245861,4
11,0.785398,1.800000,12,11.550990,46.667420,5.059268,5
12,0.785398,1.800000,13,14.664458,56.361106,5.059268,5
13,0.785398,1.800000,14,14.664458,56.361106,5.059268,5
14,0.785398,1.800000,15,14.664458,56.361106,5.059268,5
15,0.785398,1.800000,16,14.664458,56.361106,5.059268,5
16,0.785398,1.800000,17,14.664458,56.361106,5.059268,5
17,0.785398,1.800000,18,14.664458,56.361106,5.059268,5
18,0.785398,1.800000,19,14.664458,56.361106,5.059268,5
19,0.785398,1.800000,20,14.664458,56.361106,5.059268,5
20,0.785398,1.800000,21,14.664458,56.361106,5.059268,5
21,0.785398,1.800000,22,22.837195,91.650989,5.059268,6
22,0.785398,1.800000,23,23.716252,97.897564,5.059268,6
23,0.785398,1.800000,24,23.716252,97.897564,5.059268,6
24,0.785398,1.800000,25,23.716252,97.897564,5.059268,6
25,0.785398,1.800000,26,24.673352,98.813604,5.059268,6
26,0.785398,1.800000,27,24.673352,98.813604,5.059268,6
27,0.785398,1.800000,28,31.300678,155.421075,7.584425,6
28,0.785398,1.800000,29,31.300678,155.421075,7.584425,6
29,0.785398,1.800000,30,31.300678,155.421075,7.584425,6
30,0.785398,1.800000,31,31.300678,155.421075,7.584425,6
31,0.785398,1.800000,32,31.300678,155.421075,7.584425,6
32,0.785398,1.800000,33,31.300678,155.421075,7.584425,6
33,0.785398,1.800000,34,31.300678,155.421075,7.584425,6
34,0.785398,1.800000,35,31.300678,155.421075,7.584425,6
35,0.785398,1.800000,36,31.300678,155.421075,7.584425,6
36,0.785398,1.800000,37,31.300678,155.421075,7.584425,6
37,0.785398,1.800000,38,31.300678,155.421075,7.584425,6
38,0.785398,1.800000,39,31.300678,155.421075,7.584425,6
39,0.785398,1.800000,40,31.300678,155.421075,7.584425,6
40,0.785398,1.800000,41,31.300678,155.421075,7.584425,6
41,0.785398,1.800000,42,56.081680,397.369902,16.317519,7
42,0.785398,1.800000,43,62.920524,567.165697,16.317519,7
43,0.785398,1.800000,44,62.920524,567.165697,16.317519,7
44,0.785398,1.800000,45,68.387872,617.567133,16.317519,7
45,0.785398,1.800000,46,68.387872,617.567133,16.317519,7
46,0.785398,1.800000,47,68.387872,617.567133,16.317519,7
47,0.785398,1.800000,48,75.571893,669.177297,16.317519,7
48,0.785398,1.800000,49,75.571893,669.177297,16.317519,7
49,0.785398,1.800000,50,75.571893,669.177297,16.317519,7
50,0.785398,1.800000,51,75.571893,669.177297,16.317519,7
51,0.785398,1.800000,52,75.571893,669.177297,16.317519,7
52,0.785398,1.800000,53,75.571893,669.177297,16.317519,7
53,0.785398,1.800000,54,75.571893,669.177297,16.317519,7
54,0.785398,1.800000,55,75.571893,669.177297,16.317519,7
55,0.785398,1.800000,56,75.571893,669.177297,16.317519,7
56,0.785398,1.800000,57,75.571893,669.177297,16.317519,7
57,0.785398,1.800000,58,75.571893,669.177297,16.317519,7
58,0.785398,1.800000,59,75.571893,669.177297,16.317519,7
59,0.785398,1.800000,60,75.571893,669.177297,16.317519,7
60,0.785398,1.800000,61,75.571893,669.177297,16.317519,7
61,0.785398,1.800000,62,75.571893,669.177297,16.317519,7
62,0.785398,1.800000,63,75.571893,669.177297,16.317519,7
63,0.785398,1.800000,64,75.571893,669.177297,16.317519,7
64,0.785398,1.800000,65,75.571893,669.177297,16.317519,7
65,0.785398,1.800000,66,75.571893,669.177297,16.317519,7
66,0.785398,1.800000,67,75.571893,669.177297,16.317519,7
67,0.785398,1.800000,68,75.571893,669.177297,16.317519,7
68,0.785398,1.800000,69,75.571893,669.177297,16.317519,7
69,0.785398,1.800000,70,75.571893,669.177297,16.317519,7
70,0.785398,1.800000,71,75.571893,669.177297,16.317519,7
71,0.785398,1.800000,72,75.571893,669.177297,16.317519,7
72,0.785398,1.800000,73,75.571893,669.177297,16.317519,7
73,0.785398,1.800000,74,75.571893,669.177297,16.317519,7
74,0.785398,1.800000,75,75.571893,669.177297,16.317519,7
75,0.785398,1.800000,76,75.571893,669.177297,16.317519,7
76,0.785398,1.800000,77,75.571893,669.177297,16.317519,7
77,0.785398,1.800000,78,126.247429,1145.405991,16.317519,8
78,0.785398,1.800000,79,141.796542,1238.011992,16.317519,8
79,0.785398,1.800000,80,142.770446,1238.960481,16.317519,8
80,0.785398,1.800000,81,147.484625,1326.862325,22.306228,8
81,0.785398,1.800000,82,147.484625,1326.862325,22.306228,8
82,0.785398,1.800000,83,147.484625,1326.862325,22.306228,8
83,0.785398,1.800000,84,156.194736,1449.965397,22.306228,8
84,0.785398,1.800000,85,159.004995,1482.839984,22.306228,8
85,0.785398,1.800000,86,165.999061,1531.756936,22.306228,8
86,0.785398,1.800000,87,180.392022,1635.341076,22.306228,8
87,0.785398,1.800000,88,194.524539,1736.013081,22.306228,8
88,0.785398,1.800000,89,194.524539,1736.013081,22.306228,8
89,0.785398,1.800000,90,194.524539,1736.013081,22.306228,8
90,0.785398,1.800000,91,198.959411,1755.681173,22.306228,8
91,0.785398,1.800000,92,198.959411,1755.681173,22.306228,8
92,0.785398,1.800000,93,198.959411,1755.681173,22.306228,8
93,0.785398,1.800000,94,212.511142,1949.195013,22.306228,8
94,0.785398,1.800000,95,212.511142,1949.195013,22.306228,8
95,0.785398,1.800000,96,212.511142,1949.195013,22.306228,8
96,0.785398,1.800000,97,212.511142,1949.195013,22.306228,8
97,0.785398,1.800000,98,212.511142,1949.195013,22.306228,8
98,0.785398,1.800000,99,212.511142,1949.195013,22.306228,8
99,0.785398,1.800000,100,212.511142,1949.195013,22.306228,8
100,0.785398,1.800000,101,212.511142,1949.195013,22.306228,8
101,0.785398,1.800000,102,212.511142,1949.195013,22.306228,8
102,0.785398,1.800000,103,212.511142,1949.195013,22.306228,8
103,0.785398,1.800000,104,212.511142,1949.195013,22.306228,8
104,0.785398,1.800000,105,212.511142,1949.195013,22.306228,8
105,0.785398,1.800000,106,212.511142,1949.195013,22.306228,8
106,0.785398,1.800000,107,212.511142,1949.195013,22.306228,8
107,0.785398,1.800000,108,212.511142,1949.195013,22.306228,8
108,0.785398,1.800000,109,215.967447,1961.141060,22.306228,8
109,0.785398,1.800000,110,216.897266,1974.141614,22.306228,8
110,0.785398,1.800000,111,216.897266,1974.141614,22.306228,8
111,0.785398,1.800000,112,216.897266,1974.141614,22.306228,8
112,0.785398,1.800000,113,216.897266,1974.141614,22.306228,8
113,0.785398,1.800000,114,216.897266,1974.141614,22.306228,8
114,0.785398,1.800000,115,216.897266,1974.141614,22.306228,8
115,0.785398,1.800000,116,216.897266,1974.141614,22.306228,8
116,0.785398,1.800000,117,216.897266,1974.141614,22.306228,8
117,0.785398,1.800000,118,216.897266,1974.141614,22.306228,8
118,0.785398,1.800000,119,216.897266,1974.141614,22.306228,8
119,0.785398,1.800000,120,216.897266,1974.141614,22.306228,8
120,0.785398,1.800000,121,216.897266,1974.141614,22.306228,8
121,0.785398,1.800000,122,216.897266,1974.141614,22.306228,8
122,0.785398,1.800000,123,216.897266,1974.141614,22.306228,8
123,0.785398,1.800000,124,216.897266,1974.141614,22.306228,8
124,0.785398,1.800000,125,216.897266,1974.141614,22.306228,8
125,0.785398,1.800000,126,216.897266,1974.141614,22.306228,8
126,0.785398,1.800000,127,216.897266,1974.141614,22.306228,8
127,0.785398,1.800000,128,216.897266,1974.141614,22.306228,8
128,0.785398,1.800000,129,216.897266,1974.141614,22.306228,8
129,0.785398,1.800000,130,216.897266,1974.141614,22.306228,8
130,0.785398,1.800000,131,216.897266,1974.141614,22.306228,8
131,0.785398,1.800000,132,216.897266,1974.141614,22.306228,8
132,0.785398,1.800000,133,216.897266,1974.141614,22.306228,8
133,0.785398,1.800000,134,216.897266,1974.141614,22.306228,8
134,0.785398,1.800000,135,216.897266,1974.141614,22.306228,8
135,0.785398,1.800000,136,216.897266,1974.141614,22.306228,8
136,0.785398,1.800000,137,216.897266,1974.141614,22.306228,8
137,0.785398,1.800000,138,216.897266,1974.141614,22.306228,8
138,0.785398,1.800000,139,216.897266,1974.141614,22.306228,8
139,0.785398,1.800000,140,216.897266,1974.141614,22.306228,8
140,0.785398,1.800000,141,216.897266,1974.141614,22.306228,8
141,0.785398,1.800000,142,397.046505,4399.251105,22.306228,9
142,0.785398,1.800000,143,407.436231,4541.758309,22.306228,9
143,0.785398,1.800000,144,411.999163,4577.691627,22.306228,9
144,0.785398,1.800000,145,415.652148,4638.714681,22.306228,9
145,0.785398,1.800000,146,423.120404,4746.114677,22.306228,9
146,0.785398,1.800000,147,434.099737,4850.456732,22.306228,9
147,0.785398,1.800000,148,444.691679,4941.603333,22.306228,9
148,0.785398,1.800000,149,462.058248,5390.073876,22.306228,9
149,0.785398,1.800000,150,462.058248,5390.073876,22.306228,9
150,0.785398,1.800000,151,462.058248,5390.073876,22.306228,9
151,0.785398,1.800000,152,462.058248,5390.073876,22.306228,9
152,0.785398,1.800000,153,462.058248,5390.073876,22.306228,9
153,0.785398,1.800000,154,471.522225,5498.440365,22.306228,9
154,0.785398,1.800000,155,471.522225,5498.440365,22.306228,9
155,0.785398,1.800000,156,476.541206,5523.630534,22.306228,9
156,0.785398,1.800000,157,482.611118,5586.861674,22.306228,9
157,0.785398,1.800000,158,482.611118,5586.861674,22.306228,9
158,0.785398,1.800000,159,489.626213,5684.638378,22.306228,9
159,0.785398,1.800000,160,489.626213,5684.638378,22.306228,9
160,0.785398,1.800000,161,489.626213,5684.638378,22.306228,9
161,0.785398,1.800000,162,493.144998,5697.020223,22.306228,9
162,0.785398,1.800000,163,496.626702,5709.142489,22.306228,9
163,0.785398,1.800000,164,499.722827,5718.728477,22.306228,9
164,0.785398,1.800000,165,499.722827,5718.728477,22.306228,9
165,0.785398,1.800000,166,499.722827,5718.728477,22.306228,9
166,0.785398,1.800000,167,499.722827,5718.728477,22.306228,9
167,0.785398,1.800000,168,500.649025,5744.181024,22.306228,9
168,0.785398,1.800000,169,507.352867,5789.122522,22.306228,9
169,0.785398,1.800000,170,507.352867,5789.122522,22.306228,9
170,0.785398,1.800000,171,507.352867,5789.122522,22.306228,9
171,0.785398,1.800000,172,509.224471,5794.198764,22.306228,9
172,0.785398,1.800000,173,511.186545,5798.048498,22.306228,9
173,0.785398,1.800000,174,511.186545,5798.048498,22.306228,9
174,0.785398,1.800000,175,511.186545,5798.048498,22.306228,9
175,0.785398,1.800000,176,515.655123,5928.005673,22.306228,9
176,0.785398,1.800000,177,520.136619,5978.757298,22.306228,9
177,0.785398,1.800000,178,522.118513,6007.406534,22.306228,9
178,0.785398,1.800000,179,522.118513,6007.406534,22.306228,9
179,0.785398,1.800000,180,522.118513,6007.406534,22.306228,9
180,0.785398,1.800000,181,522.118513,6007.406534,22.306228,9
